	id_str	created_at	full_text	target
0	1429019204708077571	2021-08-21 09:55:02	są bardzo dobrze ubrani stać ich po prostu kim są uchodźcy z granicy polsko białoruskiej więcej na niezaleznapl	0.0
1	1432361412727296001	2021-08-30 15:15:47	marcin_przydacz w gośćradiazet aleksandar łukaszenka wykorzystuje grupę ludzi którzy są na granicy polsko białoruskiej gdyby działacze społeczni i opozycja stanęła murem za polską i jasno skrytykowała działania białorusi wówczas łatwiej byśmy mogli rozwiązać ten kryzys	0.0
2	1430857153317937156	2021-08-26 11:38:24	ogrodzenie z drutu kolczastego na granicy polsko białoruskiej już powstaje wyborcza usnarzgórny	0.0
3	1430237242434277376	2021-08-24 18:35:05	przydacz o sytuacji na granicy z białorusią to po stronie białoruskiej leży obowiązek rozwiązania tej sprawy	0.0
4	1429439846121189381	2021-08-22 13:46:31	episkopat zabiera głos ws sytuacji na polsko białoruskiej granicy humanitarna i ewangeliczna reakcja na problemy związane z migrantami i uchodźcami nie może być nigdy ograniczana czy zawieszana przez jakąkolwiek jurysdykcję czytamy w komunikacie	0.0
5	1432362451685756935	2021-08-30 15:19:55	marcin_przydacz w gośćradiazet konwój humanitarny jest w gotowości i w każdej chwili może znaleźć się na granicy polsko białoruskiej ponowiliśmy notę do strony białoruskiej o możliwość wpuszczenia konwoju pierwsza odpowiedź była odmowna polska realizuje tylko prawo unijne	0.0
6	1429377206476750851	2021-08-22 09:37:37	nie można uchylać konwencji genewskiej na podstawie rozporządzenia ministra to absurd prawniczy mówił w tvn mikołaj pietrzak adwokat i pełnomocnik osób które koczują na polsko białoruskiej granicy	0.0
7	1429017026182397953	2021-08-21 09:46:23	funkcjonariusze straży granicznej i żołnierze uzbrojeni w pistolety maszynowe nie dopuszczają dziennikarzy do imigrantów którzy dzień koczują przy granicy polsko białoruskiej miejsce zostało zasłonięte przez samochody wojska i straży granicznej	-1.0
8	1429386562047987716	2021-08-22 10:14:47	żyją w alternatywnej rzeczywistości lewaccy aktywiści pod granicą z białorusią dziwią się że wojsko wykonuje rozkazy wideo	1.0
9	1429864744631115781	2021-08-23 17:54:55	faktypofaktach s chmielewska o sytuacji na granicy polsko białoruskiej musimy być przygotowani na to że ludzie będą uciekać z różnych powodów oglądaj w tvn i tvn go	0.0
10	1432354923245568000	2021-08-30 14:50:00	komisja europejska reaguje na sytuację przy polsko białoruskiej granicy więcej na ten temat dziś w faktytvn o	0.0
11	1429425248282284032	2021-08-22 12:48:31	co za niewiedza byłej dziennikarki tvn nie wie jak przebiega granica polski użytkownicy twittera komentują tam są takie słupki	0.0
12	1429860368260771847	2021-08-23 17:37:31	faktypofaktach bownik która pomagała migrantom na granicy polsko białoruskiej byli wyczerpani bardzo długim marszem mieli stopy w tragicznym stanie byli odwodnieni i w bardzo złym stanie psychicznym oglądaj w tvn i tvn go	-1.0
13	1430928841917276167	2021-08-26 16:23:15	płuciennik czarnekp jako minister edukacji to szczyt buty pisorgpl teraz ta granica została przekroczona wyborcza	NA
14	1432663976173703179	2021-08-31 11:18:04	rosyjski system rakietowy rozlokowany tuż przy granicy polsko białoruskiej	0.0
15	1429862798272696323	2021-08-23 17:47:11	faktypofaktach s chmielewska o sytuacji na granicy polsko białoruskiej to moim zdaniem tortury i poniżanie to jest niezgodne z prawem oglądaj w tvn i tvn go	-1.0
16	1432397104408825856	2021-08-30 17:37:36	straż graniczna odnotowała ostatniej doby próby nielegalnego przekroczenia granicy polsko białoruskiej materiał maciejknapik	1.0
17	1430950284474335234	2021-08-26 17:48:28	faktypofaktach maciej stuhr o sytuacji migrantów koczujących na granicy polsko białoruskiej ciężko o tym mówić po ludzku jest nam przykro oglądaj teraz w tvn i tvn go	-1.0
18	1429057206985510920	2021-08-21 12:26:03	kryzys na granicy polsko białoruskiej porozumienie apeluje do rządzących	1.0
19	1432651881885560835	2021-08-31 10:30:00	podcast o tym ile przez polskiład straci wbialystok o kryzysie na granicy polsko białoruskiej i zagrożeniach z możliwej iv fali pandemii koronawirus mówi ttruskolaski w rozmowie z michal_kolanko mowiaprezydenci uniametropolii	0.0
20	1428412850175889408	2021-08-19 17:45:36	faktypofaktach bartłomiej sienkiewicz o koczujących migrantach na granicy polsko białoruskiej ten kryzys ma charakter polityczny oglądaj teraz w tvn i tvn go	0.0
21	1430187187971272711	2021-08-24 15:16:11	premier mateusz morawiecki na granicy polsko białoruskiej spotkał się między innymi z przedstawicielami straży granicznej	0.0
22	1431991712092729348	2021-08-29 14:46:43	liderka białoruskiej opozycji swiatłana cichanouska zwróciła się z przekazem do uczestników campusu polska przyszłości mówiła między innymi o sytuacji na polsko białoruskiej granicy	0.0
23	1429158819184119813	2021-08-21 19:09:49	o sytuację na polsko białoruskiej granicy pytany był w sobotnich faktypofaktach marcin sośniak naczelnik wydziału praw migrantów i mniejszości narodowych w zespole równego traktowania z biura rzecznika praw obywatelskich	0.0
24	1432213995839164419	2021-08-30 05:30:00	krzyk i megafon to wciąż jedyna możliwość kontaktu z migrantami koczującymi na polsko białoruskiej granicy zobacz materiał faktytvn	1.0
25	1428703372908142594	2021-08-20 13:00:02	granica z białorusią jest szczelna szef mon wysyła jasny sygnał do mińska i kremla więcej na niezaleznapl	1.0
26	1427879428751826944	2021-08-18 06:25:59	na granicy polsko białoruskiej w usnarzu górnym w województwie podlaskim powstało obozowisko migrantów których wypychają z białorusi tamtejsze służby	0.0
27	1429821996796424198	2021-08-23 15:05:03	na granicy polsko białoruskiej powstanie metrowy płot szef mon podwoimy też liczbę żołnierzy więcej na niezaleznapl	1.0
28	1432728409973706754	2021-08-31 15:34:06	pilne prezydent andrzejduda wszelkie próby atakowania tych którzy pełnią dzisiaj służbę na granicy polsko białoruskiej są działaniem nieodpowiedzialnym i antypolskim wkrótce więcej na niezaleznapl	1.0
29	1430602104889126913	2021-08-25 18:44:55	przed siedzibą kg straży granicznej w warszawy odbyła się demonstracja związana z sytuacją na granicy polsko białoruskiej	-1.0
30	1428628641999589385	2021-08-20 08:03:05	bp samiec o sytuacji na granicy polsko białoruskiej silny kraj nie boi się grupki ludzi	0.0
31	1432352416519933954	2021-08-30 14:40:02	niszczyli ogrodzenie na granicy polsko białoruskiej wiemy jakie usłyszą zarzuty więcej na niezaleznapl	1.0
32	1430225593799434244	2021-08-24 17:48:48	faktypofaktach czwarnóg o migrantach na granicy polsko białoruskiej już dawno skończyła im się woda i jedzenie nie mają gdzie się załatwiać oglądaj w tvn i tvn go	-1.0
33	1427510042266415129	2021-08-17 05:58:10	czy polska przyjmie tys afgańczyków nie znam tych liczb dialog trwa nie ma decyzji ile osób do polski mogłoby przyjechać grupa zainteresowanych dynamicznie się powiększa mówił michaldworczyk gość graffiti_pn marcinfijolek	0.0
34	1430052816547196935	2021-08-24 06:22:15	premier morawieckim będzie dziś po południu na polsko białoruskiej granicy na podlasiu nieoficjalnie informuje pap wizyta szefa rządu ma związek z gwałtownym wzrostem liczby migrantów na wschodniej granicy ue	0.0
35	1428029293628698631	2021-08-18 16:21:29	uchodźców z afganistanu z rodzinami i małymi dziećmi utknęło w potrzasku na polsko białoruskiej granicy więcej na ten temat w faktach o oglądaj w tvn tvn bis i tvn go	-1.0
36	1429864102697082889	2021-08-23 17:52:22	faktypofaktach s chmielewska o sytuacji na granicy polsko białoruskiej nie wolno spokojnie patrzeć na cierpienie ludzi zwłaszcza kiedy możemy im pomóc oglądaj w tvn i tvn go	-1.0
37	1431227582293463046	2021-08-27 12:10:21	akcja protestacyjna na granicy polsko białoruskiej apelujemy zakończcie ten horror wyborcza	-1.0
38	1431311826688507909	2021-08-27 17:45:06	sytuacja na granicy polsko białoruskiej może skończyć się tragicznie	0.0
39	1435514614352068609	2021-09-08 08:05:29	ponad zakażeń koronawirusem przekroczona kolejna granica	NA
40	1434596753806856193	2021-09-05 19:18:14	na granicy polsko białoruskiej rozpoczęliśmy już budowę siatki chroniącej zwierzęta przed okaleczeniem przekazał za pośrednictwem mediów społecznościowych minister obrony narodowej mariusz błaszczak zdjęcie z sierpnia	1.0
41	1442937153357443072	2021-09-28 19:40:00	polacy zmuszani do niewolniczej pracy za granicą oszustom pomagali inni polacy	NA
42	1443176869537349634	2021-09-29 11:32:33	unijna komisarz spotka się z mariuszem kamińskim nie możemy dopuścić aby ludzie na unijnej granicy ginęli	-1.0
43	1439802233101619200	2021-09-20 04:02:57	zwłoki czterech osób przy polsko białoruskiej granicy premier zapowiada naradę służb	0.0
44	1442766790094823425	2021-09-28 08:23:02	müller komentuje śmierć latka na polsko białoruskiej granicy dochodzi do prowokacji	1.0
45	1442509095135711244	2021-09-27 15:19:03	letni chłopiec zmarł na granicy polsko białoruskiej wcześniej wymiotował krwią	-1.0
46	1434087009904205829	2021-09-04 09:32:41	leszek miller dzisiaj nieprzekraczalną granicą jest kolaboracja z pis z leszekmiller rozmawia dsubbotko	NA
47	1437434620866404354	2021-09-13 15:14:54	olgaewasemeniuk w gośćradiazet stan wyjątkowy jest po to żeby zabezpieczyć polaków sytuacja na polsko białoruskiej granicy cały czas jest dynamiczna przedsiębiorcy nie pozostaną sami	0.0
